img,forward,steering_angle
training_2025-06-12 21:06:30.746547.jpg,1,0
training_2025-06-12 21:06:31.404068.jpg,1,-1
training_2025-06-12 21:06:32.151839.jpg,1,-1
training_2025-06-12 21:06:32.817776.jpg,1,-1
training_2025-06-12 21:06:33.488313.jpg,1,-1
training_2025-06-12 21:06:34.165512.jpg,1,-1
training_2025-06-12 21:06:34.833366.jpg,1,-1
training_2025-06-12 21:06:35.508693.jpg,1,-1
training_2025-06-12 21:06:36.180662.jpg,1,-1
training_2025-06-12 21:06:36.856988.jpg,1,-1
training_2025-06-12 21:06:37.628275.jpg,1,0
training_2025-06-12 21:06:38.301350.jpg,1,0
training_2025-06-12 21:06:38.972572.jpg,1,0
training_2025-06-12 21:06:39.648283.jpg,1,0
training_2025-06-12 21:06:40.320428.jpg,1,0
training_2025-06-12 21:06:40.991942.jpg,1,0
training_2025-06-12 21:06:41.664647.jpg,0,0
training_2025-06-12 21:06:42.337077.jpg,0,0
training_2025-06-12 21:06:43.103048.jpg,0,0
training_2025-06-12 21:07:43.936887.jpg,1,0
training_2025-06-12 21:07:44.600154.jpg,1,-1
training_2025-06-12 21:07:45.275064.jpg,1,-1
training_2025-06-12 21:07:45.952177.jpg,1,-1
training_2025-06-12 21:07:46.627602.jpg,1,-1
training_2025-06-12 21:07:47.301330.jpg,1,0
training_2025-06-12 21:07:47.967908.jpg,1,0
training_2025-06-12 21:07:48.650278.jpg,1,0
training_2025-06-12 21:07:49.397755.jpg,1,-1
training_2025-06-12 21:07:50.062022.jpg,1,-1
training_2025-06-12 21:07:50.745855.jpg,1,-1
training_2025-06-12 21:07:51.408128.jpg,1,0
training_2025-06-12 21:07:52.358783.jpg,1,0
training_2025-06-12 21:07:53.359751.jpg,1,-1
training_2025-06-12 21:07:54.384029.jpg,1,-1
training_2025-06-12 21:07:55.123354.jpg,1,-1
training_2025-06-12 21:07:55.792300.jpg,1,0
training_2025-06-12 21:07:56.463911.jpg,1,0
training_2025-06-12 21:07:57.134036.jpg,1,-1
training_2025-06-12 21:07:57.807620.jpg,1,0
training_2025-06-12 21:07:58.478473.jpg,1,0
training_2025-06-12 21:07:59.158527.jpg,1,0
training_2025-06-12 21:07:59.901462.jpg,1,0
training_2025-06-12 21:08:00.575840.jpg,1,-1
training_2025-06-12 21:08:01.236597.jpg,1,-1
training_2025-06-12 21:08:01.908419.jpg,1,-1
training_2025-06-12 21:08:02.579747.jpg,1,-1
training_2025-06-12 21:08:03.265434.jpg,1,-1
training_2025-06-12 21:08:03.926530.jpg,1,0
training_2025-06-12 21:08:04.601194.jpg,1,0
training_2025-06-12 21:08:05.366727.jpg,1,0
training_2025-06-12 21:08:06.051140.jpg,1,-1
training_2025-06-12 21:08:06.727356.jpg,1,-1
training_2025-06-12 21:08:07.391056.jpg,1,-1
training_2025-06-12 21:08:08.058514.jpg,1,-1
training_2025-06-12 21:08:08.736306.jpg,1,-1
training_2025-06-12 21:08:09.402958.jpg,1,-1
training_2025-06-12 21:08:10.084882.jpg,1,-1
training_2025-06-12 21:08:10.856905.jpg,1,-1
training_2025-06-12 21:08:11.537763.jpg,1,-1
training_2025-06-12 21:08:12.198879.jpg,0,-1
training_2025-06-12 21:08:12.872723.jpg,0,-1
training_2025-06-12 21:08:13.542903.jpg,0,-1
training_2025-06-12 21:08:14.215563.jpg,0,-1
training_2025-06-12 21:08:14.885581.jpg,0,-1
training_2025-06-12 21:08:15.567961.jpg,0,-1
training_2025-06-12 21:08:16.308730.jpg,0,-1
training_2025-06-12 21:08:16.977585.jpg,0,-1
training_2025-06-12 21:08:17.645186.jpg,0,-1
training_2025-06-12 21:08:18.321551.jpg,0,-1
training_2025-06-12 21:08:18.989991.jpg,0,-1
training_2025-06-12 21:08:19.664136.jpg,1,-1
training_2025-06-12 21:08:20.335707.jpg,1,-1
training_2025-06-12 21:08:21.016800.jpg,1,-1
training_2025-06-12 21:08:21.777137.jpg,1,0
training_2025-06-12 21:08:22.453408.jpg,1,0
training_2025-06-12 21:08:23.121531.jpg,1,0
training_2025-06-12 21:08:23.797079.jpg,1,0
training_2025-06-12 21:08:24.465113.jpg,1,-1
training_2025-06-12 21:08:25.146268.jpg,1,-1
training_2025-06-12 21:08:25.819043.jpg,1,-1
training_2025-06-12 21:08:26.484847.jpg,1,-1
training_2025-06-12 21:08:27.255974.jpg,1,0
training_2025-06-12 21:08:27.939921.jpg,1,0
training_2025-06-12 21:08:28.606152.jpg,1,0
training_2025-06-12 21:08:29.276198.jpg,1,-1
training_2025-06-12 21:08:29.947120.jpg,1,-1
training_2025-06-12 21:08:30.620840.jpg,1,-1
training_2025-06-12 21:08:31.292702.jpg,1,0
training_2025-06-12 21:08:31.964375.jpg,1,0
training_2025-06-12 21:08:32.718916.jpg,1,-1
training_2025-06-12 21:08:33.381168.jpg,1,-1
training_2025-06-12 21:08:34.054941.jpg,1,-1
training_2025-06-12 21:08:34.722985.jpg,0,-1
training_2025-06-12 21:08:35.393893.jpg,0,-1
training_2025-06-12 21:08:36.076835.jpg,0,-1
training_2025-06-12 21:08:36.737482.jpg,0,0
training_2025-06-12 21:08:37.412682.jpg,0,0
training_2025-06-12 21:08:38.183297.jpg,0,0
training_2025-06-12 21:08:38.861615.jpg,0,0
training_2025-06-12 21:08:39.534982.jpg,0,-1
training_2025-06-12 21:08:40.204797.jpg,0,-1
training_2025-06-12 21:08:40.880341.jpg,0,-1
training_2025-06-12 21:08:41.552127.jpg,0,-1
training_2025-06-12 21:08:42.225520.jpg,0,-1
training_2025-06-12 21:08:42.898739.jpg,0,-1
training_2025-06-12 21:08:43.668390.jpg,0,-1
training_2025-06-12 21:08:44.348150.jpg,0,-1
training_2025-06-12 21:08:45.020580.jpg,0,-1
training_2025-06-12 21:08:45.693300.jpg,0,-1
training_2025-06-12 21:08:46.364380.jpg,0,-1
training_2025-06-12 21:08:47.035222.jpg,0,-1
training_2025-06-12 21:08:47.715711.jpg,0,-1
training_2025-06-12 21:09:37.526848.jpg,1,0
training_2025-06-12 21:09:38.208435.jpg,1,0
training_2025-06-12 21:09:38.920547.jpg,1,1
training_2025-06-12 21:09:39.600290.jpg,1,1
training_2025-06-12 21:09:40.267666.jpg,1,0
training_2025-06-12 21:09:40.941727.jpg,1,0
training_2025-06-12 21:09:41.613436.jpg,1,-1
training_2025-06-12 21:09:42.288110.jpg,1,-1
training_2025-06-12 21:09:42.961082.jpg,1,-1
training_2025-06-12 21:09:43.738013.jpg,1,0
training_2025-06-12 21:09:44.411434.jpg,1,-1
training_2025-06-12 21:09:45.084592.jpg,1,0
training_2025-06-12 21:09:45.758699.jpg,1,0
training_2025-06-12 21:09:46.426980.jpg,1,-1
training_2025-06-12 21:09:47.097067.jpg,1,-1
training_2025-06-12 21:09:47.771032.jpg,1,0
training_2025-06-12 21:09:48.440936.jpg,1,0
training_2025-06-12 21:09:49.208940.jpg,1,-1
training_2025-06-12 21:09:49.857422.jpg,1,-1
training_2025-06-12 21:09:50.528823.jpg,1,0
training_2025-06-12 21:09:51.199446.jpg,1,0
training_2025-06-12 21:09:51.874746.jpg,1,0
training_2025-06-12 21:09:52.542905.jpg,1,-1
training_2025-06-12 21:09:53.215662.jpg,1,-1
training_2025-06-12 21:09:53.888540.jpg,1,0
training_2025-06-12 21:09:54.660796.jpg,1,0
training_2025-06-12 21:09:55.331089.jpg,1,-1
training_2025-06-12 21:09:55.999459.jpg,1,-1
training_2025-06-12 21:09:56.669412.jpg,1,0
training_2025-06-12 21:09:57.343182.jpg,1,-1
training_2025-06-12 21:09:58.014191.jpg,1,-1
training_2025-06-12 21:09:58.688020.jpg,1,-1
training_2025-06-12 21:09:59.360365.jpg,1,0
training_2025-06-12 21:10:00.128501.jpg,1,0
training_2025-06-12 21:10:00.800257.jpg,1,0
training_2025-06-12 21:10:01.474712.jpg,1,0
training_2025-06-12 21:10:02.147736.jpg,1,0
training_2025-06-12 21:10:02.818968.jpg,1,-1
training_2025-06-12 21:10:03.489629.jpg,1,-1
training_2025-06-12 21:10:04.160049.jpg,1,-1
training_2025-06-12 21:10:04.833183.jpg,1,-1
training_2025-06-12 21:10:05.581123.jpg,1,0
training_2025-06-12 21:10:06.240694.jpg,1,0
training_2025-06-12 21:10:06.915314.jpg,1,0
training_2025-06-12 21:10:07.582424.jpg,1,-1
training_2025-06-12 21:10:08.257277.jpg,1,-1
training_2025-06-12 21:10:08.927265.jpg,1,-1
training_2025-06-12 21:10:09.600096.jpg,1,0
training_2025-06-12 21:10:10.270977.jpg,1,-1
training_2025-06-12 21:10:11.041506.jpg,1,-1
training_2025-06-12 21:10:11.715403.jpg,1,0
training_2025-06-12 21:10:12.387092.jpg,1,0
